layer,site,format,corpus,m,k,n,input_hash_ds4_64,candidate_dispatches,grid_y,bit_diffs,first_index,first_ref_bits,first_got_bits,max_abs,result
10,1,q8_0,C5,3,4096,1024,faee0f80bd0362a7,1,1,0,-1,00000000,00000000,0,PASS
10,1,q8_0,C5,4,4096,1024,aa0e29cddbd79d54,1,1,0,-1,00000000,00000000,0,PASS
10,2,q8_0,C5,2,4096,512,4fce818bebfaa343,1,1,0,-1,00000000,00000000,0,PASS
10,2,q8_0,C5,3,4096,512,faee0f80bd0362a7,1,1,0,-1,00000000,00000000,0,PASS
10,2,q8_0,C5,4,4096,512,aa0e29cddbd79d54,1,1,0,-1,00000000,00000000,0,PASS
10,3,q8_0,C5,2,1024,32768,064ede1c23a13d45,1,1,0,-1,00000000,00000000,0,PASS
10,3,q8_0,C5,3,1024,32768,824fcab451485b5b,1,1,0,-1,00000000,00000000,0,PASS
10,3,q8_0,C5,4,1024,32768,0708d29ffac3d899,1,1,0,-1,00000000,00000000,0,PASS
10,4,q8_0,C5,2,8192,4096,91b22cd83f70c8a4,1,1,0,-1,00000000,00000000,0,PASS
10,4,q8_0,C5,3,8192,4096,ba97c1686f1a6ecc,1,1,0,-1,00000000,00000000,0,PASS
10,4,q8_0,C5,4,8192,4096,22245b6afee42c87,1,1,0,-1,00000000,00000000,0,PASS
10,5,f16,C5,2,16384,24,2ee962b94d59c16f,1,1,0,-1,00000000,00000000,0,PASS
10,5,f16,C5,3,16384,24,70f63c874902f2f5,1,1,0,-1,00000000,00000000,0,PASS
10,5,f16,C5,4,16384,24,9fd90a4eab492aeb,1,1,0,-1,00000000,00000000,0,PASS
10,6,f16,C5,2,4096,256,e82c88f01cf0bd61,1,1,0,-1,00000000,00000000,0,PASS
10,6,f16,C5,3,4096,256,d4c96746060bde94,1,1,0,-1,00000000,00000000,0,PASS
10,6,f16,C5,4,4096,256,348ebd94f2d50605,1,1,0,-1,00000000,00000000,0,PASS
11,0,f16,C5,2,16384,24,40c03be5ee5a4db1,1,1,0,-1,00000000,00000000,0,PASS
11,0,f16,C5,3,16384,24,66aeba8bd28fb704,1,1,0,-1,00000000,00000000,0,PASS
11,0,f16,C5,4,16384,24,0b7f3d10d84ef312,1,1,0,-1,00000000,00000000,0,PASS
11,1,q8_0,C5,2,4096,1024,979e74bd5661595e,1,1,0,-1,00000000,00000000,0,PASS
11,1,q8_0,C5,3,4096,1024,4501d09a5e12b17b,1,1,0,-1,00000000,00000000,0,PASS
11,1,q8_0,C5,4,4096,1024,8a9adbeeb7821375,1,1,0,-1,00000000,00000000,0,PASS
11,2,q8_0,C5,2,4096,512,979e74bd5661595e,1,1,0,-1,00000000,00000000,0,PASS
11,2,q8_0,C5,3,4096,512,4501d09a5e12b17b,1,1,0,-1,00000000,00000000,0,PASS
11,2,q8_0,C5,4,4096,512,8a9adbeeb7821375,1,1,0,-1,00000000,00000000,0,PASS
11,3,q8_0,C5,2,1024,32768,e83498d1ab90a1b4,1,1,0,-1,00000000,00000000,0,PASS
11,3,q8_0,C5,3,1024,32768,e5288625f5aa9269,1,1,0,-1,00000000,00000000,0,PASS
11,3,q8_0,C5,4,1024,32768,df70c57b1ec391bb,1,1,0,-1,00000000,00000000,0,PASS
11,4,q8_0,C5,2,8192,4096,a736028c6ed0f2b7,1,1,0,-1,00000000,00000000,0,PASS
11,4,q8_0,C5,3,8192,4096,0ae81bbcbb0bd254,1,1,0,-1,00000000,00000000,0,PASS
11,4,q8_0,C5,4,8192,4096,29625cb8cee54fd2,1,1,0,-1,00000000,00000000,0,PASS
11,5,f16,C5,2,16384,24,2a31c2c62427c539,1,1,0,-1,00000000,00000000,0,PASS
11,5,f16,C5,3,16384,24,9ca5e1b5a0fc7e1a,1,1,0,-1,00000000,00000000,0,PASS
11,5,f16,C5,4,16384,24,5829b2d83a9cfa6f,1,1,0,-1,00000000,00000000,0,PASS
11,6,f16,C5,2,4096,256,a4ea32ef38b57239,1,1,0,-1,00000000,00000000,0,PASS
11,6,f16,C5,3,4096,256,79be748d6cda8aa7,1,1,0,-1,00000000,00000000,0,PASS
11,6,f16,C5,4,4096,256,9247fa451796d5d7,1,1,0,-1,00000000,00000000,0,PASS
12,0,f16,C5,2,16384,24,f802e5ec8fc22817,1,1,0,-1,00000000,00000000,0,PASS
12,0,f16,C5,3,16384,24,fd1d8df41efb979d,1,1,0,-1,00000000,00000000,0,PASS
