stratum,round,order_position,selector,layer,gpu_ms
0,3,4,1,8,0.253500
0,3,4,1,9,0.253458
0,3,4,1,10,0.252292
0,3,4,1,11,0.252917
0,3,4,1,12,0.256875
0,3,4,1,13,0.255750
0,3,4,1,14,0.252250
0,3,4,1,15,0.253708
0,3,4,1,16,0.252250
0,3,4,1,17,0.254167
0,3,4,1,18,0.253708
0,3,4,1,19,0.253000
0,3,4,1,20,0.253250
0,3,4,1,21,0.254000
0,3,4,1,22,0.253375
0,3,4,1,23,0.253500
0,3,4,1,24,0.413750
0,3,4,1,25,0.251292
0,3,4,1,26,0.251292
0,3,4,1,27,0.253625
0,3,4,1,28,0.252667
0,3,4,1,29,0.252958
0,3,4,1,30,0.253000
0,3,4,1,31,0.246833
0,3,4,1,32,0.254375
0,3,4,1,33,0.254583
0,3,4,1,34,0.245500
0,3,4,1,35,0.250250
0,3,4,1,36,0.255333
0,3,4,1,37,0.254000
0,3,4,1,38,0.252917
0,3,4,1,39,0.252792
0,3,4,1,40,0.253917
0,3,4,1,41,0.252542
0,3,4,1,42,0.253125
0,4,0,128,0,0.955875
0,4,0,128,1,0.814583
0,4,0,128,2,0.815875
0,4,0,128,3,0.817750
0,4,0,128,4,0.815125
0,4,0,128,5,0.815500
0,4,0,128,6,0.815167
0,4,0,128,7,0.818750
0,4,0,128,8,0.893042
0,4,0,128,9,0.814542
0,4,0,128,10,0.817750
0,4,0,128,11,0.816875
0,4,0,128,12,0.813333
0,4,0,128,13,0.814500
0,4,0,128,14,0.816458
0,4,0,128,15,0.815500
0,4,0,128,16,0.964500
0,4,0,128,17,0.815875
0,4,0,128,18,0.816500
0,4,0,128,19,0.777250
0,4,0,128,20,0.774375
0,4,0,128,21,0.814375
0,4,0,128,22,0.815375
0,4,0,128,23,0.814292
0,4,0,128,24,0.817792
0,4,0,128,25,0.793917
0,4,0,128,26,0.814167
0,4,0,128,27,0.818125
0,4,0,128,28,0.816000
0,4,0,128,29,0.817083
0,4,0,128,30,0.818375
0,4,0,128,31,0.814250
0,4,0,128,32,0.978000
0,4,0,128,33,0.813708
0,4,0,128,34,0.814750
0,4,0,128,35,0.817917
0,4,0,128,36,0.815750
0,4,0,128,37,0.815375
0,4,0,128,38,0.814625
0,4,0,128,39,0.815917
0,4,0,128,40,0.978250
0,4,0,128,41,0.805708
0,4,0,128,42,0.815375
0,4,1,0,0,0.249125
0,4,1,0,1,0.249875
0,4,1,0,2,0.249250
0,4,1,0,3,0.253750
0,4,1,0,4,0.250167
0,4,1,0,5,0.246417
0,4,1,0,6,0.249500
0,4,1,0,7,0.249875
0,4,1,0,8,0.249583
0,4,1,0,9,0.249958
0,4,1,0,10,0.250792
0,4,1,0,11,0.250875
0,4,1,0,12,0.249167
0,4,1,0,13,0.338000
0,4,1,0,14,0.249125
0,4,1,0,15,0.248750
0,4,1,0,16,0.249250
0,4,1,0,17,0.250750
0,4,1,0,18,0.249417
0,4,1,0,19,0.248292
0,4,1,0,20,0.249875
